run_id,n_events,batch_tag,absorber,material,particle,total_edep_MeV,gammas_crossing_face
0,50000000,"01",1,"G4_Ag","Li7",3.72040608995122674e-02,2037
0,50000000,"01",1,"G4_Ag","alpha",5.76297587838420555e-01,2037
0,50000000,"01",1,"G4_Ag","e-",5.14819960096788397e-03,2037
0,50000000,"01",1,"G4_Ag","proton",1.26140658017152309e-03,2037
0,50000000,"01",2,"PNDI-T10-B4C","C12",1.12897261643519453e+00,2037
0,50000000,"01",2,"PNDI-T10-B4C","Li7",2.87105597711594044e+02,2037
0,50000000,"01",2,"PNDI-T10-B4C","alpha",4.74211236415141798e+02,2037
0,50000000,"01",2,"PNDI-T10-B4C","e-",8.88594493992495060e+00,2037
0,50000000,"01",2,"PNDI-T10-B4C","gamma",4.08631000000000012e-03,2037
0,50000000,"01",2,"PNDI-T10-B4C","neutron",1.84295564205970934e-05,2037
0,50000000,"01",2,"PNDI-T10-B4C","proton",2.54644817023963332e+00,2037
0,50000000,"01",3,"ITO","Li7",6.13248150753622767e-02,2037
0,50000000,"01",3,"ITO","alpha",1.18781853004778037e+00,2037
0,50000000,"01",3,"ITO","e-",1.65877615117439453e-02,2037
0,50000000,"01",3,"ITO","proton",1.39531491853184860e-02,2037
0,50000000,"01",4,"QuartzGlass","alpha",5.55830114706417966e+00,2037
0,50000000,"01",4,"QuartzGlass","e-",3.03667179922206931e-01,2037
0,50000000,"01",4,"QuartzGlass","gamma",2.32799999999999939e-05,2037
0,50000000,"01",4,"QuartzGlass","proton",5.56968713290356479e-02,2037
1,50000000,"02",1,"G4_Ag","Li7",1.14467669859820542e-01,1999
1,50000000,"02",1,"G4_Ag","alpha",8.55659724229676621e-01,1999
1,50000000,"02",1,"G4_Ag","e-",1.71462489167212295e-02,1999
1,50000000,"02",1,"G4_Ag","proton",1.01571662542350640e-02,1999
1,50000000,"02",2,"PNDI-T10-B4C","C12",3.68078839398160329e-01,1999
1,50000000,"02",2,"PNDI-T10-B4C","C13",1.40487952888069062e-01,1999
1,50000000,"02",2,"PNDI-T10-B4C","Li7",2.61092993447350352e+02,1999
1,50000000,"02",2,"PNDI-T10-B4C","N14",9.08497467347871339e-05,1999
1,50000000,"02",2,"PNDI-T10-B4C","alpha",4.38926329164038748e+02,1999
1,50000000,"02",2,"PNDI-T10-B4C","e-",9.31323034222602786e+00,1999
1,50000000,"02",2,"PNDI-T10-B4C","gamma",1.83182000000000006e-03,1999
1,50000000,"02",2,"PNDI-T10-B4C","neutron",1.82654741191032632e-05,1999
1,50000000,"02",2,"PNDI-T10-B4C","proton",4.80975400330220104e+00,1999
1,50000000,"02",3,"ITO","Li7",3.45076911576931433e-02,1999
1,50000000,"02",3,"ITO","alpha",6.64929361182880263e-01,1999
1,50000000,"02",3,"ITO","e-",3.44889284194227616e-03,1999
1,50000000,"02",3,"ITO","gamma",1.08300000000000013e-05,1999
1,50000000,"02",4,"QuartzGlass","Li7",2.14348932073301912e-02,1999
1,50000000,"02",4,"QuartzGlass","alpha",3.15902798467900192e+00,1999
1,50000000,"02",4,"QuartzGlass","e-",1.28729980337269151e-01,1999
2,50000000,"03",1,"G4_Ag","Ag109",1.10431587969349098e-04,2031
2,50000000,"03",1,"G4_Ag","Ag110",2.21480142846420477e-05,2031
2,50000000,"03",1,"G4_Ag","Cd110",4.59067086922004819e-05,2031
2,50000000,"03",1,"G4_Ag","Li7",7.29567268444891448e-02,2031
2,50000000,"03",1,"G4_Ag","alpha",5.31637623758306588e-01,2031
2,50000000,"03",1,"G4_Ag","e-",1.14804965705652996e-02,2031
2,50000000,"03",1,"G4_Ag","gamma",2.41899999999999971e-05,2031
2,50000000,"03",1,"G4_Ag","proton",1.38632258680521387e-02,2031
2,50000000,"03",2,"PNDI-T10-B4C","B10",8.11308941891141999e-01,2031
2,50000000,"03",2,"PNDI-T10-B4C","C12",3.72997150471762740e-01,2031
2,50000000,"03",2,"PNDI-T10-B4C","Li7",2.81511952042036000e+02,2031
2,50000000,"03",2,"PNDI-T10-B4C","N14",7.20624838618532043e-04,2031
2,50000000,"03",2,"PNDI-T10-B4C","alpha",4.65449591240057771e+02,2031
2,50000000,"03",2,"PNDI-T10-B4C","e-",8.91619224765517870e+00,2031
2,50000000,"03",2,"PNDI-T10-B4C","gamma",3.93283999999999995e-03,2031
2,50000000,"03",2,"PNDI-T10-B4C","neutron",1.07400286265102899e-05,2031
2,50000000,"03",2,"PNDI-T10-B4C","proton",3.09807859015744302e+00,2031
2,50000000,"03",3,"ITO","In116",3.08008603378580196e-04,2031
2,50000000,"03",3,"ITO","Li7",6.26688793854581483e-02,2031
2,50000000,"03",3,"ITO","Sn116",7.38766830181702971e-05,2031
2,50000000,"03",3,"ITO","alpha",1.81456168823439734e+00,2031
2,50000000,"03",3,"ITO","e-",7.51765384058491158e-03,2031
2,50000000,"03",4,"QuartzGlass","alpha",5.32513595228886949e+00,2031
2,50000000,"03",4,"QuartzGlass","e-",2.33210868256908760e-01,2031
2,50000000,"03",4,"QuartzGlass","gamma",1.34599999999999999e-05,2031
2,50000000,"03",4,"QuartzGlass","proton",1.86802750600884943e-01,2031
