run_id,n_events,batch_tag,absorber,material,particle,total_edep_MeV,gammas_crossing_face
0,50000000,"01",1,"G4_Ag","Ag110",1.14043686590895336e-04,5324
0,50000000,"01",1,"G4_Ag","Cd110",3.02639236906543374e-05,5324
0,50000000,"01",1,"G4_Ag","Li7",6.85050023357909321e-02,5324
0,50000000,"01",1,"G4_Ag","alpha",4.15989247147802887e-01,5324
0,50000000,"01",1,"G4_Ag","e-",1.20357796739737448e-02,5324
0,50000000,"01",1,"G4_Ag","gamma",7.84400000000025355e-05,5324
0,50000000,"01",1,"G4_Ag","proton",2.21480722337579709e-03,5324
0,50000000,"01",2,"PNDI-T10-B4C","C12",5.83657871634707393e-01,5324
0,50000000,"01",2,"PNDI-T10-B4C","Li7",2.76163618681473451e+02,5324
0,50000000,"01",2,"PNDI-T10-B4C","alpha",4.59762687484371497e+02,5324
0,50000000,"01",2,"PNDI-T10-B4C","e-",9.47909493174173967e+00,5324
0,50000000,"01",2,"PNDI-T10-B4C","gamma",3.38437999999999977e-03,5324
0,50000000,"01",2,"PNDI-T10-B4C","neutron",2.48835286141241586e-05,5324
0,50000000,"01",2,"PNDI-T10-B4C","proton",4.94964791775507518e+00,5324
0,50000000,"01",3,"ITO","In116",3.30011171744602435e-05,5324
0,50000000,"01",3,"ITO","Li7",6.43100300994844387e-02,5324
0,50000000,"01",3,"ITO","Sn116",4.14519454352557659e-05,5324
0,50000000,"01",3,"ITO","alpha",1.09051756154619484e+00,5324
0,50000000,"01",3,"ITO","e-",9.27307419165086799e-03,5324
0,50000000,"01",3,"ITO","gamma",1.47950000000004328e-04,5324
0,50000000,"01",4,"QuartzGlass","Li7",1.66405961610449557e-02,5324
0,50000000,"01",4,"QuartzGlass","O16",1.74347523693161406e-03,5324
0,50000000,"01",4,"QuartzGlass","alpha",4.51505572469777938e+00,5324
0,50000000,"01",4,"QuartzGlass","e-",1.76630497272094428e-01,5324
1,50000000,"02",1,"G4_Ag","Li7",2.24967861980176660e-02,5277
1,50000000,"02",1,"G4_Ag","alpha",3.19986802779127832e-01,5277
1,50000000,"02",1,"G4_Ag","e-",7.71057750264369374e-03,5277
1,50000000,"02",1,"G4_Ag","gamma",3.80900000000001723e-05,5277
1,50000000,"02",1,"G4_Ag","proton",8.29805546889454508e-03,5277
1,50000000,"02",2,"PNDI-T10-B4C","B10",5.00805980110669235e-01,5277
1,50000000,"02",2,"PNDI-T10-B4C","C12",1.29783679159734189e+00,5277
1,50000000,"02",2,"PNDI-T10-B4C","C14",4.20350680623511608e-02,5277
1,50000000,"02",2,"PNDI-T10-B4C","Li7",2.86291559362882879e+02,5277
1,50000000,"02",2,"PNDI-T10-B4C","O16",3.54720193423464130e-03,5277
1,50000000,"02",2,"PNDI-T10-B4C","alpha",4.80723785539270068e+02,5277
1,50000000,"02",2,"PNDI-T10-B4C","deuteron",2.49563322762608587e-04,5277
1,50000000,"02",2,"PNDI-T10-B4C","e-",1.01773991315978982e+01,5277
1,50000000,"02",2,"PNDI-T10-B4C","gamma",3.73022999999999974e-03,5277
1,50000000,"02",2,"PNDI-T10-B4C","neutron",3.67885275697932791e-05,5277
1,50000000,"02",2,"PNDI-T10-B4C","proton",4.93534668491688677e+00,5277
1,50000000,"02",3,"ITO","In116",2.32383476878116166e-04,5277
1,50000000,"02",3,"ITO","Li7",1.10721701043856577e-01,5277
1,50000000,"02",3,"ITO","Sn116",1.01228884886950254e-04,5277
1,50000000,"02",3,"ITO","alpha",8.26804644771996111e-01,5277
1,50000000,"02",3,"ITO","e-",8.47062714095249934e-03,5277
1,50000000,"02",4,"QuartzGlass","Li7",2.15390297057915042e-01,5277
1,50000000,"02",4,"QuartzGlass","alpha",3.53314202463932281e+00,5277
1,50000000,"02",4,"QuartzGlass","e-",2.10073085253125708e-01,5277
1,50000000,"02",4,"QuartzGlass","gamma",3.56599999999999940e-05,5277
1,50000000,"02",4,"QuartzGlass","neutron",2.93569114143754504e-08,5277
2,50000000,"03",1,"G4_Ag","Li7",5.54262956575525684e-02,5330
2,50000000,"03",1,"G4_Ag","alpha",4.96694404380338517e-01,5330
2,50000000,"03",1,"G4_Ag","e-",1.31521258671485324e-02,5330
2,50000000,"03",1,"G4_Ag","gamma",9.20999999999977392e-05,5330
2,50000000,"03",1,"G4_Ag","proton",6.95354472978213910e-03,5330
2,50000000,"03",2,"PNDI-T10-B4C","C12",1.98758935957439054e+00,5330
2,50000000,"03",2,"PNDI-T10-B4C","C14",5.47326714378136014e-02,5330
2,50000000,"03",2,"PNDI-T10-B4C","Li7",2.97286262972604220e+02,5330
2,50000000,"03",2,"PNDI-T10-B4C","O16",1.34014461492394724e-02,5330
2,50000000,"03",2,"PNDI-T10-B4C","alpha",5.01187087969056051e+02,5330
2,50000000,"03",2,"PNDI-T10-B4C","deuteron",4.71929516663231838e-04,5330
2,50000000,"03",2,"PNDI-T10-B4C","e-",1.00254288736366028e+01,5330
2,50000000,"03",2,"PNDI-T10-B4C","gamma",3.13990000000000059e-03,5330
2,50000000,"03",2,"PNDI-T10-B4C","neutron",1.95854256058388271e-05,5330
2,50000000,"03",2,"PNDI-T10-B4C","proton",4.13923086309034893e+00,5330
2,50000000,"03",3,"ITO","Li7",1.27712725959068352e-01,5330
2,50000000,"03",3,"ITO","O16",5.48072294440948979e-04,5330
2,50000000,"03",3,"ITO","alpha",9.98481395183423381e-01,5330
2,50000000,"03",3,"ITO","e-",2.65744061370547513e-02,5330
2,50000000,"03",3,"ITO","gamma",1.59440000000003745e-04,5330
2,50000000,"03",3,"ITO","proton",1.13249520978853380e-02,5330
2,50000000,"03",4,"QuartzGlass","Li7",4.62149852137214989e-02,5330
2,50000000,"03",4,"QuartzGlass","Si28",2.73878925924489502e-04,5330
2,50000000,"03",4,"QuartzGlass","alpha",4.22045189249263686e+00,5330
2,50000000,"03",4,"QuartzGlass","e-",2.76909521769021227e-01,5330
2,50000000,"03",4,"QuartzGlass","neutron",5.10620271966346319e-08,5330
2,50000000,"03",4,"QuartzGlass","proton",5.24500652698211764e-02,5330
