run_id,n_events,batch_tag,absorber,material,particle,total_edep_MeV,gammas_crossing_face
0,50000000,"01",1,"G4_Ag","Li7",2.67221485384148590e-02,5419
0,50000000,"01",1,"G4_Ag","alpha",3.20484701803580740e-01,5419
0,50000000,"01",1,"G4_Ag","e-",1.70880520409187782e-02,5419
0,50000000,"01",1,"G4_Ag","gamma",1.40180000000003635e-04,5419
0,50000000,"01",1,"G4_Ag","proton",1.09166046177112223e-02,5419
0,50000000,"01",2,"PNDI-T10-B4C","B10",5.48655195059282730e-02,5419
0,50000000,"01",2,"PNDI-T10-B4C","C12",9.71303769743565859e-02,5419
0,50000000,"01",2,"PNDI-T10-B4C","Li7",2.95425165363389169e+02,5419
0,50000000,"01",2,"PNDI-T10-B4C","alpha",4.95580223253967063e+02,5419
0,50000000,"01",2,"PNDI-T10-B4C","e-",1.05412931968655599e+01,5419
0,50000000,"01",2,"PNDI-T10-B4C","gamma",4.06328999999999978e-03,5419
0,50000000,"01",2,"PNDI-T10-B4C","neutron",2.95127376477715168e-05,5419
0,50000000,"01",2,"PNDI-T10-B4C","proton",4.41696078639834333e+00,5419
0,50000000,"01",3,"ITO","In116",1.21524575328386234e-04,5419
0,50000000,"01",3,"ITO","Li7",1.92330975166729673e-01,5419
0,50000000,"01",3,"ITO","Sn116",4.29250649176537991e-05,5419
0,50000000,"01",3,"ITO","alpha",1.38154403713459151e+00,5419
0,50000000,"01",3,"ITO","e-",2.21591395537390802e-02,5419
0,50000000,"01",3,"ITO","gamma",2.45420000000006605e-04,5419
0,50000000,"01",4,"QuartzGlass","Li7",5.39952632043117609e-01,5419
0,50000000,"01",4,"QuartzGlass","alpha",5.18728540006440220e+00,5419
0,50000000,"01",4,"QuartzGlass","e-",2.22220027188167885e-01,5419
1,50000000,"02",1,"G4_Ag","Li7",7.78906492461041572e-02,5500
1,50000000,"02",1,"G4_Ag","alpha",6.05618134520503060e-01,5500
1,50000000,"02",1,"G4_Ag","e-",1.37127457938938466e-02,5500
1,50000000,"02",1,"G4_Ag","gamma",2.35670000000010732e-04,5500
1,50000000,"02",1,"G4_Ag","proton",1.36956820727087078e-02,5500
1,50000000,"02",2,"PNDI-T10-B4C","C12",4.46044330615825158e-01,5500
1,50000000,"02",2,"PNDI-T10-B4C","Li7",2.96081161710571735e+02,5500
1,50000000,"02",2,"PNDI-T10-B4C","O16",2.80214180885154799e-03,5500
1,50000000,"02",2,"PNDI-T10-B4C","alpha",4.95385226934153309e+02,5500
1,50000000,"02",2,"PNDI-T10-B4C","e-",1.02633831358530632e+01,5500
1,50000000,"02",2,"PNDI-T10-B4C","gamma",3.97824000000000094e-03,5500
1,50000000,"02",2,"PNDI-T10-B4C","neutron",2.72654899982975360e-05,5500
1,50000000,"02",2,"PNDI-T10-B4C","proton",5.52396311392633166e+00,5500
1,50000000,"02",3,"ITO","In116",3.11354452562016143e-04,5500
1,50000000,"02",3,"ITO","Li7",2.17862094329454165e-01,5500
1,50000000,"02",3,"ITO","Sn116",6.62936363369226456e-05,5500
1,50000000,"02",3,"ITO","Sn116[1293.560]",1.96572509594261646e-05,5500
1,50000000,"02",3,"ITO","alpha",7.11891787504845497e-01,5500
1,50000000,"02",3,"ITO","e-",1.91276567621934783e-02,5500
1,50000000,"02",3,"ITO","gamma",3.78090000000001931e-04,5500
1,50000000,"02",4,"QuartzGlass","Li7",5.99506933468149650e-01,5500
1,50000000,"02",4,"QuartzGlass","alpha",3.44300207968500827e+00,5500
1,50000000,"02",4,"QuartzGlass","e-",1.71374971118695679e-01,5500
2,50000000,"03",1,"G4_Ag","Li7",4.32772846337115893e-02,5472
2,50000000,"03",1,"G4_Ag","alpha",8.33784567043044156e-01,5472
2,50000000,"03",1,"G4_Ag","e-",1.05255597139639924e-02,5472
2,50000000,"03",1,"G4_Ag","gamma",6.78000000000032743e-05,5472
2,50000000,"03",1,"G4_Ag","proton",3.13091899873063004e-02,5472
2,50000000,"03",2,"PNDI-T10-B4C","B10",8.11096296966665881e-03,5472
2,50000000,"03",2,"PNDI-T10-B4C","B11",3.20584218102890756e-02,5472
2,50000000,"03",2,"PNDI-T10-B4C","C12",1.80520326148267674e+00,5472
2,50000000,"03",2,"PNDI-T10-B4C","C14",4.78487685276226885e-02,5472
2,50000000,"03",2,"PNDI-T10-B4C","Li7",3.11566543722988797e+02,5472
2,50000000,"03",2,"PNDI-T10-B4C","S32",2.97813948716791066e-01,5472
2,50000000,"03",2,"PNDI-T10-B4C","alpha",5.17924987755317034e+02,5472
2,50000000,"03",2,"PNDI-T10-B4C","e-",1.03978289015333196e+01,5472
2,50000000,"03",2,"PNDI-T10-B4C","gamma",3.32575000000000015e-03,5472
2,50000000,"03",2,"PNDI-T10-B4C","neutron",1.81994092957421619e-05,5472
2,50000000,"03",2,"PNDI-T10-B4C","proton",4.24809332675963613e+00,5472
2,50000000,"03",3,"ITO","Li7",6.22377356339455234e-01,5472
2,50000000,"03",3,"ITO","alpha",1.78279303622591168e+00,5472
2,50000000,"03",3,"ITO","e-",7.14339916881401304e-03,5472
2,50000000,"03",3,"ITO","gamma",6.55499999999999806e-05,5472
2,50000000,"03",4,"QuartzGlass","Li7",6.33428603335455143e-01,5472
2,50000000,"03",4,"QuartzGlass","alpha",5.78008203182436375e+00,5472
2,50000000,"03",4,"QuartzGlass","e-",2.52375504172188403e-01,5472
